,justification
4dpj-bZK1,"In introducing social determinants of health, 4dpj already underlines the inequality factor, while bZK1 does not"
4dpj-pJAO,"In introducing social determinants of health, 4dpj already underlines the inequality factor, while pJAO does not. Moreover, in pJAO police violence 'affects' Black Americans, while in 4dpj it 'kills' them."
4dpj-qFYI, "qFYI introduces every statement from the article with sentences such as 'the article highlights,' thus distancing itself from the moral statements. Moreover, in qFYI police violence 'affects' Black Americans, while in 4dpj it 'kills' them."
4dpj-vELP, "In introducing social determinants of health, 4dpj already underlines the inequality factor, while vELP does not"

bZK1-pJAO, "In pJAO police violence 'affects' Black Americans, while in bZK1 it 'kills' them."
bZK1-qFYI, "qFYI introduces every statement from the article with sentences such as 'the article highlights,' thus distancing itself from the moral statements."

pJAO-vELP, "In pJAO police violence 'affects' Black Americans, while in vELP it 'kills' them."
pJAO -qFYI, "qFYI introduces every statement from the article with sentences such as 'the article highlights,' thus distancing itself from the moral statements."

qFYI-vELP, "qFYI introduces every statement from the article with sentences such as 'the article highlights,' thus distancing itself from the moral statements."

